geoid,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B19013_001E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E
370590804002,1069,996,0,0,73,0,0,0,0,0,80417,497,16,0,71,248,111,0,0,0,0,51
370590804003,804,783,21,0,0,0,0,0,0,0,53621,396,0,0,85,108,18,30,0,0,47,108
370590807004,2006,1497,237,0,0,0,101,171,0,171,32201,1051,0,0,72,196,39,67,313,87,185,92
370590807002,1414,1273,40,29,0,0,49,23,23,0,51316,522,0,16,133,36,74,14,30,27,65,127
370590806001,860,809,43,1,0,0,0,7,0,7,74896,343,4,2,68,0,72,56,33,73,10,25
370590806002,1169,923,96,0,74,0,76,0,0,0,52443,505,24,47,94,41,17,148,44,39,0,51
371290108001,2653,1624,539,50,0,0,335,105,6,99,30265,1047,0,0,173,76,135,44,80,242,231,66
371290116031,1767,1225,408,30,0,0,0,104,8,96,52128,570,0,63,79,189,123,116,0,0,0,0
371290116033,2280,1842,275,0,110,0,53,0,0,0,68214,984,0,0,48,676,137,53,0,0,70,0
371290102002,1431,646,743,0,22,0,0,20,0,20,44931,789,0,0,29,8,29,22,18,67,136,480
371290102001,1316,1094,167,0,43,0,0,12,0,12,53462,678,8,7,0,20,0,18,0,32,48,545
371290121011,2544,2335,132,24,15,0,0,38,0,38,56122,1529,164,79,690,247,164,173,0,12,0,0
371290121012,3520,2697,293,10,92,0,230,198,20,178,59349,1460,183,134,363,175,155,422,28,0,0,0
371290112001,530,467,63,0,0,0,0,0,0,0,59038,346,0,0,0,20,20,0,9,37,0,260
371290112002,1152,581,571,0,0,0,0,0,0,0,51983,613,0,3,18,0,43,10,0,72,20,447
370670016011,1355,210,1001,0,3,0,141,0,0,0,58750,666,0,0,108,62,56,205,149,57,29,0
370670016013,894,110,770,0,0,0,0,14,0,14,29363,443,14,0,39,24,0,86,153,20,62,45
370670019011,1608,888,583,0,17,0,102,18,0,18,24500,618,0,0,36,16,50,0,81,117,141,177
370670020011,1013,523,381,3,0,0,73,33,0,33,27969,381,0,0,32,19,44,50,60,76,92,8
370670026011,1635,1503,116,0,16,0,0,0,0,0,72778,794,0,48,13,120,135,36,311,88,31,12
370670027031,2039,1027,588,0,0,0,336,88,0,88,24692,986,0,13,0,71,140,549,143,13,17,40
370670027033,1563,938,530,2,0,0,17,76,0,76,25038,874,11,0,39,113,303,182,94,38,51,43
370670039051,1644,1028,441,0,138,0,22,15,10,5,41863,1136,11,20,14,315,306,160,201,109,0,0
370670040052,2527,2203,296,4,15,0,9,0,0,0,97917,881,16,0,94,251,206,242,35,18,0,19
371330011023,1205,855,304,0,12,0,34,0,0,0,32500,678,0,0,44,145,205,207,55,22,0,0
371330011021,501,221,220,0,0,0,0,60,0,60,34333,246,25,12,20,28,25,65,33,11,27,0
371330022012,2293,1454,644,0,28,0,43,124,0,124,46728,928,0,58,234,162,346,100,28,0,0,0
371330022011,2280,1454,294,15,174,0,44,299,0,299,51167,1134,0,0,473,379,161,121,0,0,0,0
371330026004,900,218,643,0,0,0,0,39,1,38,20500,429,0,0,18,59,37,133,58,124,0,0
371330026001,450,165,154,0,94,0,10,27,27,0,35489,377,7,0,87,21,0,26,34,162,40,0
371330026002,825,167,595,0,59,0,0,4,4,0,40357,397,36,0,46,28,17,49,101,120,0,0
371330026003,894,446,239,0,0,0,7,202,0,202,30750,487,0,0,11,23,55,97,37,264,0,0
371330004031,1180,1157,0,0,0,0,0,23,0,23,62727,3258,133,52,699,836,1136,246,128,28,0,0
370339302001,622,296,326,0,0,0,0,0,0,0,42484,197,0,0,16,70,0,91,5,0,0,15
370339302004,2152,774,1293,6,0,22,35,22,0,22,19043,961,0,0,16,63,214,235,144,115,76,98
370339302002,1748,1236,483,0,0,0,3,26,0,26,55240,673,0,29,126,110,95,113,31,64,63,42
370339302003,854,359,479,0,16,0,0,0,0,0,38750,580,0,0,131,145,11,49,146,62,0,36
370339306003,1344,699,629,0,0,0,0,16,16,0,65333,541,15,21,79,78,144,71,13,54,0,66
370339306002,1272,719,553,0,0,0,0,0,0,0,58529,538,0,37,113,16,186,42,83,14,0,47
370339305002,637,427,105,0,41,0,61,3,0,3,66667,391,8,0,100,35,37,60,22,32,79,18
370339305001,1404,854,482,32,36,0,0,0,0,0,63529,592,0,0,178,73,104,131,25,47,0,34
370339301002,1016,418,521,0,9,0,68,0,0,0,44531,449,0,0,100,83,55,97,51,33,10,20
370339301001,1391,627,619,0,0,0,1,144,0,144,46897,687,15,0,69,93,118,50,29,143,76,94
370339303004,870,651,219,0,0,0,0,0,0,0,51495,506,0,0,49,44,80,82,51,134,46,20
370479311002,1880,1781,99,0,0,0,0,0,0,0,31382,775,13,6,73,187,129,76,125,115,12,39
370479308001,1188,891,239,0,58,0,0,0,0,0,71184,522,9,9,134,149,52,144,0,9,7,9
